0	0.0	0.0
200	18.6	53.0
400	21.8	74.8
600	47.0	174.8
800	84.4	193.8
1000	143.6	153.0
1200	43.6	225.6
1400	62.4	215.8
1600	87.6	212.2
1800	106.2	228.6
2000	125.4	225.0
2200	153.2	642.4
2400	181.2	650.0
2600	218.6	617.8
2800	253.0	652.6
3000	291.0	659.0
3200	328.4	677.8
3400	372.4	621.0
3600	415.2	654.0
3800	465.6	659.2
4000	519.2	658.6
4200	575.6	1937.8
4400	623.0	1920.6
4600	678.0	1910.4
4800	753.8	1947.6
5000	827.6	1938.8
5200	862.2	1940.4
5400	930.8	1935.2
5600	1002.2	1918.8
5800	1077.4	1975.4
6000	1155.4	2017.8
6200	1235.2	1938.6
6400	1317.6	1997.6
6600	1399.0	2021.6
6800	1496.2	1957.8
7000	1579.6	1993.4
7200	1657.8	1944.6
7400	1760.8	1957.0
7600	1838.6	1957.8
7800	1951.0	1959.8
8000	2082.2	1988.0
8200	2156.8	5773.6
8400	2259.8	5776.2
8600	2384.8	5857.8
8800	2472.4	5880.6
9000	2613.2	5761.0
9200	2681.2	5827.4
9400	3120.2	6597.2
9600	3155.4	6382.4
9800	3377.0	6251.2
10000	3852.8	6267.2
10200	3657.6	6995.4
10400	3498.4	7159.4
10600	4478.2	6040.6
10800	4113.8	6174.6
11000	3819.2	6862.6
11200	4927.4	6034.6
11400	4690.2	6867.8
11600	4278.4	5892.6
11800	5409.2	6497.4
12000	5145.8	6584.8
12200	5904.6	6595.6
12400	5863.4	5890.4
12600	4999.8	6338.8
12800	6400.6	6481.6
13000	6609.6	6242.0
13200	6484.6	6837.6
13400	6375.2	6591.4
13600	6013.6	6811.6
13800	7486.2	5852.0
14000	7239.6	5917.8
14200	7558.8	6332.2
14400	7259.0	6309.2
14600	8334.6	6077.8
14800	7832.4	6691.4
15000	7240.8	7230.6
15200	9139.6	6043.2
15400	8852.4	6012.6
15600	7796.0	6319.2
15800	9779.0	6548.0
16000	8828.0	6613.4
16200	9676.6	5946.0
16400	9651.8	19295.0
16600	10418.8	17965.0
16800	10232.2	19062.6
17000	10946.0	18553.4
17200	10020.2	18683.4
17400	10793.2	18316.0
17600	10618.4	18217.2
17800	12222.0	18579.4
18000	12200.2	18718.0
18200	11825.8	18656.8
18400	12998.8	19115.0
18600	11981.6	19437.8
18800	13492.0	18871.6
19000	12437.2	19457.4
19200	12924.2	19605.0
19400	12795.8	19606.2
19600	13691.4	18864.6
19800	14359.2	19781.0
20000	14209.6	18094.4
20200	13972.2	18685.2
20400	15320.2	19305.0
20600	16586.8	17737.8
20800	15370.2	18456.6
21000	14231.4	19814.0
21200	16100.2	21732.6
21400	16287.4	19212.2
21600	15725.8	20668.2
21800	17110.8	19936.4
22000	16137.4	18354.0
22200	17082.8	18704.4
22400	17800.4	18520.0
22600	19294.8	19355.0
22800	18003.2	18486.0
23000	18274.6	19433.0
23200	20705.2	18991.2
23400	19912.6	19753.2
23600	19463.4	20071.2
23800	19628.8	18392.0
24000	19728.6	19160.2
24200	20318.2	19448.0
24400	21697.4	19261.0
24600	21965.6	19824.4
24800	22109.0	18852.4
25000	23482.0	19084.2
25200	22309.0	20202.8
25400	22352.6	19663.8
25600	23756.4	19718.4
25800	23921.8	18890.6
26000	24489.8	17831.0
26200	24405.4	18739.4
26400	25485.0	19915.8
26600	24564.6	19301.0
26800	25478.8	19870.6
27000	25790.8	19966.4
27200	26071.6	19394.4
27400	28271.0	19052.6
27600	26645.6	19684.2
27800	27949.8	18599.2
28000	28733.0	18713.8
28200	27422.6	19439.0
28400	29038.8	19143.6
28600	28667.4	19554.2
28800	28695.6	19492.0
29000	30215.0	18900.0
29200	30580.0	19500.8
29400	31091.6	19210.0
29600	30442.6	20140.8
29800	29410.0	19593.4
